,id,type,title,director,country,release_year,rating,genre,duration_in_min,duration_in_seasons
2324,2324,Movie,Go Buster Tunes by Little Baby Bum,"Nick Hatton Jones, Richard Hickey",Italy,2019,ALL,Kids,26,0
2325,2325,Movie,Go Buster - Exciting Adventures,"Richard Hickey, Nick Hatton Jones",Italy,2019,ALL,"Kids, Special Interest",32,0
2326,2326,Movie,Go Buster - Educational Cartoons for Kids,Moonbug Entertainment,Italy,2021,ALL,Kids,35,0
2327,2327,Movie,Go Buster - Christmas Special,Moonbug Entertainment,Italy,2020,ALL,Kids,20,0
2328,2328,Movie,Go Buster - Buster And Friends,"Nick Hatton Jones, Richard Hickey",Italy,2019,ALL,Kids,31,0
2329,2329,Movie,Go Buster - Baby Bus Cartoons,"Richard Hickey, Nick Hatton Jones",Italy,2019,ALL,Kids,34,0
2330,2330,Movie,Go Buster - Awesome Songs,Cannis Holder,Italy,2019,ALL,Kids,32,0
2331,2331,Movie,Go Buster - Adventures of Buster the Bus,"Nick Hatton Jones, Richard Hickey",Italy,2018,ALL,Kids,23,0
2332,2332,Movie,Glove And Boots - Goofs And Laughs,"Damien Eckhardt-Jacobi, Vincent Bova",Italy,2019,7+,"Comedy, Kids",34,0
2333,2333,TV Show,Gloriavale,Unknown,Italy,2014,ALL,"Documentary, Special Interest",0,1
2334,2334,Movie,Glitch,Daniel Doherty II,Italy,2015,18+,Comedy,92,0
2335,2335,TV Show,Glee,Unknown,Italy,2015,10+,"Comedy, Drama",0,7
2336,2336,Movie,Gleason,Clay Tweel,United States,2016,17+,"Documentary, Sports",111,0
2337,2337,Movie,Gladiators of Rome,Iginio Straffi,Italy,2012,8+,"Animation, Comedy",94,0
2338,2338,Movie,Girlz,Vishal Devrukhkar,India,2019,13+,"Comedy, Drama",135,0
2339,2339,TV Show,Girls' Last Tour,Unknown,Italy,2017,14+,"Anime, Drama, International",0,1
2340,2340,Movie,Girls In Chains,Edgar G. Ulmer,Italy,1943,UNRATED,"Action, Drama",70,0
2341,2341,Movie,Girls in Chains,Edgar J. Ulmer,Italy,1943,18+,Suspense,77,0
2342,2342,Movie,Girlfriends of Christmas Past,Jake Helgren,Italy,2016,13+,Comedy,92,0
2343,2343,TV Show,Girl/Girl Scene Flashback,Unknown,Italy,2011,17+,"Comedy, Drama",0,1
2344,2344,TV Show,Girl/Girl Scene,Unknown,Italy,2017,18+,"Comedy, Drama, LGBTQ",0,2
2345,2345,Movie,Girl Who Came Back,Charles Lamont,Italy,1935,8+,Drama,69,0
2346,2346,Movie,Gina Yashere: Skinny B*tch,Paul M. Green,Italy,2008,18+,"Arts, Entertainment, and Culture, Comedy, Special Interest",58,0
